created_at,text
2021-12-04 12:10:42,"RT @BarcaStat: Its amazing how those pages, assumingly for professional channels. Spread such fake stats without checking the data!!!

Thos…"
2021-12-04 12:10:25,"RT @BarcaWorldwide: Messi really left absolutely everyone crying 🤯

Even now, CR5 propaganda's channels continue to share false stats how t…"
2021-12-04 12:09:19,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 12:08:57,"🚨 NEW IV POD: Episode 116 ""Factos""🎙:

- Ballon d’Or Backlash/why Messi was the deserving winner

- Have Man Utd imp… https://t.co/jhBkDjRWPw"
2021-12-04 12:08:52,"The #LM7 Owner 🐐👑

#Messi #BallonDor #Goat https://t.co/EPIKnD4x4t"
2021-12-04 12:08:20,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:08:17,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:05:31,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 12:04:51,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:04:21,"Messi at age 13: ""I know that if I train hard and eat well, I will win the Balon d'Or""....At age 34 he has 7! More… https://t.co/6MzqKY8AfS"
2021-12-04 12:04:05,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:02:38,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:01:31,"RT @_emaya_1: The one true goat 🐐 
absolutely mind blowing 
damn messi damn 🔥 
#LM7 https://t.co/SBXbw69o5L"
2021-12-04 12:01:24,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:01:21,@SaraFCBi He trained 7 times harder and ate 7 times better than the way he knew he should do back then. #LM7.
2021-12-04 11:59:07,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:59:05,"RT @_emaya_1: The one true goat 🐐 
absolutely mind blowing 
damn messi damn 🔥 
#LM7 https://t.co/SBXbw69o5L"
2021-12-04 11:56:49,"The one true goat 🐐 
absolutely mind blowing 
damn messi damn 🔥 
#LM7 https://t.co/SBXbw69o5L"
2021-12-04 11:54:57,RT @Rohan51790550: @FIFAcom @Benzema @DeBruyneKev @Cristiano @ErlingHaaland @nglkante @lewy_official @KMbappe @neymarjr @MoSalah We hope vo…
2021-12-04 11:54:38,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:53:42,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:51:04,"RT @messi10_rey: Edit: Lionel #Messi #LM7..#BallonDor #FACTOS👍👀 
MESS7 is the definition of greatness !!! https://t.co/RWa1aISbgS"
2021-12-04 11:46:13,#LM7 and his sons https://t.co/Ag1LWbRuEV
2021-12-04 11:46:12,#LM7 and his wife with the #BallonDor https://t.co/KSkfrt8nu9
2021-12-04 11:43:39,"Leo Messi showing off his Ballon d'Or collection. 📷✨

#LM7 #BallondOr #GOAT https://t.co/Fo5Vrf5cHO"
2021-12-04 11:42:54,RT @UnstoppableM10: The Greatest 🐐 #LM7 https://t.co/RZkDSb9etD
2021-12-04 11:40:55,When France Football vote Lewandowski over Messi for the Ballon d’Or but people still say it’s rigged 🤡🤡🤡… https://t.co/qHeLmcsWE3
2021-12-04 11:39:22,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:37:32,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:35:37,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:33:48,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:32:44,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:31:56,"@ESPNFC After seeing all this  collection 👉Patrice  Evra,Ronaldo ,Toni Kross ,casillas ,Muller have all fainted 
Le… https://t.co/BQ1MjqhrkK"
2021-12-04 11:30:50,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 11:29:16,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:28:10,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:27:20,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:27:08,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:26:14,RT @messi10_rey: I N M E S S 7 O N A N T E !!!! #LM7 #Messi ! https://t.co/7ZeMCTjkzb
2021-12-04 11:25:18,@Messianic191030 @ESPNFC There's always been ranting whenever Messi wins despite holding him to different standards… https://t.co/9lXt42gOaX
2021-12-04 11:24:27,"RT @TotalChampMessi: Every masterpiece has its own cheap copy 

#LM7 #BallonDor https://t.co/YhmZf5tFhA"
2021-12-04 11:24:01,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 11:23:34,"RT @LilMoGh: Striker of the year Lewandowski - 😂😂😂😂😂😂😂

Messi #LM7🔥🔥🔥❤️❤️❤️"
